abato	аббат.
horlogxo	1. часы; 2. инф.  таймер;  3. maj;  астр.  Часы (созвездие);
hormono	физиол. гормон;
horo	час.
hororo	жуть, дикий ужас;
horoskopo	гороскоп.
hortensio	бот. гортензия (распространённое в декоративном садоводстве название культивируемых видов рода гидрангия, в частности, гидрангии крупнолистной);
hortulano	орн. овсянка садовая (птица).
hospitalo	госпиталь; больница (обычно о бесплатной); стационар.
hostio	церк. гостия, облатка (у католиков); просфора, просвира (у православных);
hotelo	1. отель, гостиница;  2. ист.  особняк (во Франции);
hufo	копыто.
huligano	хулиган;
humana	гуманный, человечный;
humero	анат. плечевая кость.
humida	влажный, сырой (= malseka.2, malseketa);
humila	смиренный, покорный, кроткий.
humo	гумус, перегной;
humoro	1. настроение, расположение духа, душевное состояние;  душевный уклад, нрав; 2. физиол.  гуморальная среда (жидкая среда организма: кровь, жёлчь, лимфа и т.п.);  3. уст. , см.  humuro;
humuro	юмор;
hundo	1. собака (вообще, без указания пола), пёс; 2. maj: la Granda H~o астр.  Большой Пёс (созвездие);
hungaro	венгр;
hura	interj ура!;
hurli	vn выть, завывать (о собаке, волке и т.п. = tirboji, lupobleki; тж. о ветре);
husaro	гусар.
huzo	ихт. белуга (рыба).
hxameleono	1. зоол.  хамелеон (тж. перен. ;  = kameleono);  2. maj;  астр.  Хамелеон (созвездие). ~ed∙o∙j  хамелеоны (семейство).
